Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,
Definition,0,file_id,manufacturer,1,,product,1,,serial_number,1,,time_created,1,,number,1,,type,1,,
Data,0,file_id,manufacturer,"1",,garmin_product,"1499",,serial_number,"3913181216",,time_created,"823931655",,number,"65535",,type,"4",,
Definition,0,activity,timestamp,1,,local_timestamp,1,,type,1,,event,1,,event_type,1,,,,,
Data,0,activity,timestamp,"823932883",,local_timestamp,"819936180",,type,"0",,event,"26",,event_type,"1",,,,,
Definition,1,session,message_index,1,,timestamp,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,total_cycles,1,,total_calories,1,,total_fat_calories,1,,avg_speed,1,,max_speed,1,,first_lap_index,1,,num_laps,1,,hi18n33,1,,pool_length,1,,hi18n78,1,,hi18n79,1,,hi18n80,1,,event,1,,event_type,1,,sport,1,,sub_sport,1,,avg_cadence,1,,max_cadence,1,,event_group,1,,trigger,1,,swim_stroke,1,,pool_length_unit,1,,
Data,1,session,message_index,"0",,timestamp,"823932883",s,start_time,"823931655",,total_elapsed_time,"1222.109",s,total_timer_time,"1222.109",s,total_distance,"1000.0",m,total_cycles,"598",cycles,total_calories,"248",kcal,total_fat_calories,"248",kcal,avg_speed,"0.818",m/s,max_speed,"65535",m/s,first_lap_index,"0",,num_laps,"1",,hi18n33,"20",,pool_length,"50.0",m,hi18n78,"1221870",,hi18n79,"299",,hi18n80,"91",,event,"8",,event_type,"1",,sport,"5",,sub_sport,"17",,avg_cadence,"29",rpm,max_cadence,"33",rpm,event_group,"0",,trigger,"0",,swim_stroke,"2",swim_stroke,pool_length_unit,"0",,enhanced_avg_speed,"0.818",m/s,enhanced_max_speed,"65.535",m/s,
Definition,2,lap,message_index,1,,timestamp,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,total_cycles,1,,total_calories,1,,total_fat_calories,1,,avg_speed,1,,max_speed,1,,num_lengths,1,,first_length_index,1,,avg_stroke_distance,1,,num_active_lengths,1,,hi19n70,1,,hi19n72,1,,hi19n73,1,,event,1,,event_type,1,,avg_cadence,1,,max_cadence,1,,lap_trigger,1,,sport,1,,swim_stroke,1,,hi19n64,1,,,,,,,,,,,,,,
Definition,3,event,timestamp,1,,data,1,,event,1,,event_type,1,,event_group,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,record,timestamp,1,,distance,1,,speed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,5,length,message_index,1,,timestamp,1,,start_time,1,,total_elapsed_time,1,,total_timer_time,1,,total_strokes,1,,avg_speed,1,,event,1,,event_type,1,,swim_stroke,1,,avg_swimming_cadence,1,,length_type,1,,hi101n13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,7,hi24,hi24n2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,6,hi36,hi36n253,1,,hi36n16,1,,hi36n20,1,,hi36n21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,6,hi36,hi36n253,"4294967295",,hi36n16,"5",,hi36n20,"0",,hi36n21,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,event,timestamp,"823931655",s,timer_trigger,"0",,event,"0",,event_type,"0",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"0",,timestamp,"823931696",,start_time,"823931655",,total_elapsed_time,"35.312",s,total_timer_time,"35.312",s,total_strokes,"19",strokes,avg_speed,"1.415",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"32",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823931696",s,distance,"50.0",m,speed,"1.415",m/s,enhanced_speed,"1.415",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"1",,timestamp,"823931735",,start_time,"823931690",,total_elapsed_time,"36.875",s,total_timer_time,"36.875",s,total_strokes,"18",strokes,avg_speed,"1.355",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"29",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823931735",s,distance,"100.0",m,speed,"1.355",m/s,enhanced_speed,"1.355",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"2",,timestamp,"823931801",,start_time,"823931727",,total_elapsed_time,"65.75",s,total_timer_time,"65.75",s,total_strokes,"34",strokes,avg_speed,"0.76",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"31",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823931801",s,distance,"150.0",m,speed,"0.76",m/s,enhanced_speed,"0.76",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"3",,timestamp,"823931845",,start_time,"823931793",,total_elapsed_time,"47.5",s,total_timer_time,"47.5",s,total_strokes,"24",strokes,avg_speed,"1.052",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"30",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823931845",s,distance,"200.0",m,speed,"1.052",m/s,enhanced_speed,"1.052",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"4",,timestamp,"823931870",,start_time,"823931841",,total_elapsed_time,"21.75",s,total_timer_time,"21.75",s,total_strokes,"12",strokes,avg_speed,"2.298",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"33",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823931870",s,distance,"250.0",m,speed,"2.298",m/s,enhanced_speed,"2.298",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"5",,timestamp,"823931941",,start_time,"823931863",,total_elapsed_time,"69.812",s,total_timer_time,"69.812",s,total_strokes,"37",strokes,avg_speed,"0.716",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"31",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823931941",s,distance,"300.0",m,speed,"0.716",m/s,enhanced_speed,"0.716",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"6",,timestamp,"823932003",,start_time,"823931933",,total_elapsed_time,"62.312",s,total_timer_time,"62.312",s,total_strokes,"29",strokes,avg_speed,"0.802",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"27",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932003",s,distance,"350.0",m,speed,"0.802",m/s,enhanced_speed,"0.802",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"7",,timestamp,"823932069",,start_time,"823931995",,total_elapsed_time,"66.437",s,total_timer_time,"66.437",s,total_strokes,"32",strokes,avg_speed,"0.752",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"28",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932069",s,distance,"400.0",m,speed,"0.752",m/s,enhanced_speed,"0.752",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"8",,timestamp,"823932136",,start_time,"823932061",,total_elapsed_time,"67.562",s,total_timer_time,"67.562",s,total_strokes,"34",strokes,avg_speed,"0.74",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"30",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932136",s,distance,"450.0",m,speed,"0.74",m/s,enhanced_speed,"0.74",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"9",,timestamp,"823932204",,start_time,"823932129",,total_elapsed_time,"66.875",s,total_timer_time,"66.875",s,total_strokes,"33",strokes,avg_speed,"0.747",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"29",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932204",s,distance,"500.0",m,speed,"0.747",m/s,enhanced_speed,"0.747",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"10",,timestamp,"823932270",,start_time,"823932196",,total_elapsed_time,"65.937",s,total_timer_time,"65.937",s,total_strokes,"32",strokes,avg_speed,"0.758",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"29",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932270",s,distance,"550.0",m,speed,"0.758",m/s,enhanced_speed,"0.758",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"11",,timestamp,"823932337",,start_time,"823932262",,total_elapsed_time,"67.0",s,total_timer_time,"67.0",s,total_strokes,"33",strokes,avg_speed,"0.746",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"29",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932337",s,distance,"600.0",m,speed,"0.746",m/s,enhanced_speed,"0.746",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"12",,timestamp,"823932406",,start_time,"823932329",,total_elapsed_time,"71.0",s,total_timer_time,"71.0",s,total_strokes,"32",strokes,avg_speed,"0.704",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"27",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932406",s,distance,"650.0",m,speed,"0.704",m/s,enhanced_speed,"0.704",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"13",,timestamp,"823932476",,start_time,"823932400",,total_elapsed_time,"67.812",s,total_timer_time,"67.812",s,total_strokes,"31",strokes,avg_speed,"0.737",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"27",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932476",s,distance,"700.0",m,speed,"0.737",m/s,enhanced_speed,"0.737",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"14",,timestamp,"823932540",,start_time,"823932468",,total_elapsed_time,"66.062",s,total_timer_time,"66.062",s,total_strokes,"31",strokes,avg_speed,"0.756",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"28",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932540",s,distance,"750.0",m,speed,"0.756",m/s,enhanced_speed,"0.756",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"15",,timestamp,"823932612",,start_time,"823932534",,total_elapsed_time,"69.75",s,total_timer_time,"69.75",s,total_strokes,"36",strokes,avg_speed,"0.716",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"30",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932612",s,distance,"800.0",m,speed,"0.716",m/s,enhanced_speed,"0.716",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"16",,timestamp,"823932679",,start_time,"823932604",,total_elapsed_time,"68.562",s,total_timer_time,"68.562",s,total_strokes,"33",strokes,avg_speed,"0.729",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"28",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932679",s,distance,"850.0",m,speed,"0.729",m/s,enhanced_speed,"0.729",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"17",,timestamp,"823932751",,start_time,"823932673",,total_elapsed_time,"70.0",s,total_timer_time,"70.0",s,total_strokes,"33",strokes,avg_speed,"0.714",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"28",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932751",s,distance,"900.0",m,speed,"0.714",m/s,enhanced_speed,"0.714",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"18",,timestamp,"823932819",,start_time,"823932743",,total_elapsed_time,"69.062",s,total_timer_time,"69.062",s,total_strokes,"33",strokes,avg_speed,"0.723",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"28",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932819",s,distance,"950.0",m,speed,"0.723",m/s,enhanced_speed,"0.723",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,5,length,message_index,"19",,timestamp,"823932877",,start_time,"823932812",,total_elapsed_time,"66.5",s,total_timer_time,"66.5",s,total_strokes,"32",strokes,avg_speed,"0.751",m/s,event,"28",,event_type,"3",,swim_stroke,"2",swim_stroke,avg_swimming_cadence,"28",strokes/min,length_type,"1",,hi101n13,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,record,timestamp,"823932877",s,distance,"1000.0",m,speed,"0.751",m/s,enhanced_speed,"0.751",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,event,timestamp,"823932877",s,timer_trigger,"0",,event,"0",,event_type,"4",,event_group,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,2,lap,message_index,"0",,timestamp,"823932877",s,start_time,"823931655",,total_elapsed_time,"1222.109",s,total_timer_time,"1222.109",s,total_distance,"1000.0",m,total_cycles,"598",cycles,total_calories,"248",kcal,total_fat_calories,"248",kcal,avg_speed,"0.818",m/s,max_speed,"2.298",m/s,num_lengths,"20",lengths,first_length_index,"0",,avg_stroke_distance,"1.67",m,num_active_lengths,"20",lengths,hi19n70,"610935.0",,hi19n72,"149.5",,hi19n73,"45.5",,event,"9",,event_type,"1",,avg_cadence,"29",rpm,max_cadence,"33",rpm,lap_trigger,"0",,sport,"5",,swim_stroke,"2",,hi19n64,"255",,enhanced_avg_speed,"0.818",m/s,enhanced_max_speed,"2.298",m/s,,,,,,,
Data,7,hi24,hi24n2,"255|255|178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,device_info,timestamp,1,,manufacturer,1,,serial_number,1,,product,1,,software_version,1,,cum_operating_time,1,,battery_voltage,1,,hi23n13,1,,hi23n14,1,,hi23n15,1,,hi23n16,1,,device_index,1,,device_type,1,,hardware_version,1,,hi23n9,1,,battery_status,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,0,device_info,timestamp,"823932884",s,manufacturer,"1",,serial_number,"3913181216",,garmin_product,"1499",,software_version,"3.8",,cum_operating_time,"4294967295",s,battery_voltage,"65535",V,hi23n13,"65535",,hi23n14,"65535",,hi23n15,"4294967295",,hi23n16,"4294967295",,device_index,"0",,device_type,"1",,hardware_version,"253",,hi23n9,"255",,battery_status,"255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
